#Trap_ID	x	y	Effort	HumanIndex	HabitatFineScale	PreyIndex
C11_2019_Site1	764402	7974888	30	/0.233333333	TreeCover	0.933333333333333
C11_2019_Site2	763052	7972407	30	/0.266666667	Open	0.4
C11_2019_Site3	763630	7972672	30	/0.1	Open	0.766666666666667
C11_2019_Site4	767771	7972232	30	/0.2	TreeCover	0.4
C11_2019_Site5	768079	7973319	30	/0.333333333	Open	0.5
C11_2019_Site6	761794	7970999	30	/0.6	TreeCover	0.666666666666667
C11_2019_Site7	764757	7972069	30	/0.2	TreeCover	0.766666666666667
C11_2019_Site8	766613	7970805	30	/0.2	TreeCover	1.23333333333333
C11_2019_Site9	768764	7970035	30	/0.366666667	TreeCover	0.433333333333333
C11_2019_Site10	761380	7968711	30	/0.433333333	TreeCover	0.533333333333333
C11_2019_Site11	764000	7968396	30	/0.966666667	TreeCover	2
C11_2019_Site12	765737	7968743	30	/0.233333333	TreeCover	1.3
C11_2019_Site13	768448	7969188	30	/0.7	TreeCover	0.266666666666667
C11_2019_Site14	761505	7967019	30	/1	TreeCover	0.866666666666667
C11_2019_Cam33	765282	7965933	30	/0.566666667	TreeCover	0.56667
C11_2019_Site16	767091	7965527	30	/0.533333333	TreeCover	0.733333333333333
C11_2019_Site17	770464	7966328	30	/0.2	TreeCover	0.9
C11_2019_Cam35	761210	7962646	30	/0.533333333	TreeCover	0.366666666666667
C11_2019_Site19	763625	7962895	30	/0.466666667	TreeCover	1.03333333333333
C11_2019_Site20	768006	7964688	30	/0.566666667	TreeCover	0.366666666666667
C11_2019_Site21	768247	7964367	30	/0.533333333	TreeCover	0.466666666666667
C11_2019_Site22	761721	7961276	30	/0.5	TreeCover	0.466666666666667
C11_2019_Site23	763131	7960168	30	/0.266666667	Open	0.833333333333333
C11_2019_Site24	766614	7961291	30	/0.2	Open	0.5
C11_2019_Cam37	764248	7959387	30	/0.366666667	TreeCover	0.4
C11_2019_Site26	765906	7957493	30	/0.333333333	Open	0.4
C11_2019_Cam38	765132	7956118	30	/0.3	TreeCover	0.5
C11_2019_Site28	767145	7955130	30	/0.333333333	TreeCover	0.966666666666667
C11_2019_Cam39	765055	7953167	30	/0.2	Open	1
C11_2019_Site30	766139	7953434	30	/0.133333333	TreeCover	0.9
C11_2019_Site31	768420	7952305	30	/0.3	TreeCover	0.3
C11_2019_Site32	771047	7953356	30	/0.3	TreeCover	0.966666666666667
C11_2019_Site33	765203	7950700	30	/0.333333333	TreeCover	0.433333333333333
C11_2019_Site34	767297	7950794	30	/0.133333333	TreeCover	0.5
C11_2019_Site35	768869	7950768	30	/0.166666667	TreeCover	0.3
C11_2019_Site36	772751	7951712	30	/0.366666667	Open	0.1
C11_2019_Site37	773536	7950523	30	/0.366666667	TreeCover	0.933333333333333
C11_2019_Site38	764981	7948836	30	/0.3	TreeCover	0.6
C11_2019_Cam41	766581	7949458	30	/0.1	TreeCover	0.566666666666667
C11_2019_Site40	769690	7948452	30	/0.133333333	TreeCover	0.633333333333333
C11_2019_Cam44	771812	7948438	30	/0.166666667	TreeCover	1.13333333333333
C11_2019_Site42	773536	7949137	30	/0.133333333	TreeCover	1.16666666666667
C11_2019_Site43	767527	7947185	30	/0.133333333	TreeCover	0.2
C11_2019_Site44	769124	7946449	30	/0.266666667	TreeCover	0.333333333333333
C11_2019_Site45	771587	7946891	30	/0.2	Open	0.533333333333333
C11_2019_Site46	774993	7946073	30	/0.233333333	TreeCover	0.633333333333333
C11_2019_Cam23	776082	7947644	13	/0.153846154	TreeCover	0.366666666666667
C11_2019_Site48	771086	7943859	30	/0.233333333	Open	1.53846153846154
